[DEBUG]    bt.c:138                  dvmh_rts.cpp:833          Enabling Peer Access from device 0 to device 1
[DEBUG]    bt.c:138                  dvmh_rts.cpp:833          Enabling Peer Access from device 1 to device 0
[DEBUG]    bt.c:138                  dvmh_rts.cpp:892          Set of devices in use: CUDA (device numbers: 0(performance=1) 1(performance=1)). Total device count = 3. Total slot count = 2
[INFO]     bt.c:138                  dvmh_rts.cpp:906          Number of processes in use: 8
[INFO]     bt.c:138                  dvmh_rts.cpp:907          Total number of CPU threads in use: 0
[INFO]     bt.c:138                  dvmh_rts.cpp:908          Total number of CUDA devices in use: 16
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xcae240 with size 512 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xcae040 with size 512 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xcccc40 with size 1200 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccd100 with size 80 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccd7a0 with size 40 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xca9aa4 with size 4 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccd160 with size 800 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccd480 with size 800 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccc140 with size 1200 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccc0e0 with size 80 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xca9aa0 with size 4 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccc920 with size 800 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccc600 with size 800 entered data region. Depth is 1.
[TRACE]    bt.c:138                  dvmh2.cpp:1911            THREAD main: Variable at 0xccbbc0 with size 1200 entered data region. Depth is 1.
